prov_name,city_name,prov_id,city_id
Buenos Aires,ISLA MACIEL,2,4020
Capital Federal,GARCIA JUAN AGUSTIN,1,1194
Corrientes,PINDO,5,14819
San Luis,CARPINTERIA,19,20803
